Consolidated APA-Style Results Report
=====================================

This report compiles the analysis CSV outputs into plain-text sections.

Section 1: Descriptive Statistics
=================================

6 Month Follow Adolescents

Descriptive Statistics (Adolescents)

Overall Continuous (overall)
----------------------------
Variable | Summary
100 | 22 (41.51)

For cgas_-cgas_response in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the group breakdown.

Overall Categorical (gender) - cgas_-cgas_response
--------------------------------------------------
Category | Summary
--- | ---
80 | 2 (5.71)
90 | 10 (28.57)
100 | 23 (65.71)
80 | 3 (5.56)
90 | 26 (48.15)
100 | 25 (46.30)

For cgas_-cgas_response in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the gender breakdown.

Overall Categorical (new_group) - cgas_-cgas_response
-----------------------------------------------------
Category | Summary
--- | ---
90 | 5 (27.78)
100 | 13 (72.22)
90 | 5 (27.78)
100 | 13 (72.22)
80 | 2 (11.76)
90 | 5 (29.41)
100 | 10 (58.82)
80 | 3 (8.33)
90 | 21 (58.33)
100 | 12 (33.33)

For cgas_-cgas_response in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Domain wise Categorical (overall) - srq_-srq_total_cat
------------------------------------------------------
Category | Summary
--- | ---
0 | 49 (43.36)
1 | 64 (56.64)

For srq_-srq_total_cat in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the overall breakdown.

Domain wise Categorical (group) - srq_-srq_total_cat
----------------------------------------------------
Category | Summary
--- | ---
0 | 21 (44.68)
1 | 26 (55.32)
0 | 28 (42.42)
1 | 38 (57.58)

For srq_-srq_total_cat in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the group breakdown.

Domain wise Categorical (gender) - srq_-srq_total_cat
-----------------------------------------------------
Category | Summary
--- | ---
0 | 20 (42.55)
1 | 27 (57.45)
0 | 29 (43.94)
1 | 37 (56.06)

For srq_-srq_total_cat in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the gender breakdown.

Domain wise Categorical (new_group) - srq_-srq_total_cat
--------------------------------------------------------
Category | Summary
--- | ---
0 | 9 (39.13)
1 | 14 (60.87)
0 | 12 (50.00)
1 | 12 (50.00)
0 | 11 (45.83)
1 | 13 (54.17)
0 | 17 (40.48)
1 | 25 (59.52)

For srq_-srq_total_cat in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Domain wise Categorical (overall) - apq_-dsm5_total_cat
-------------------------------------------------------
Category | Summary
--- | ---
 | 0 ()

For apq_-dsm5_total_cat in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the overall breakdown.

Domain wise Categorical (group) - apq_-dsm5_total_cat
-----------------------------------------------------
Category | Summary
--- | ---
 | 0 ()
 | 0 ()

For apq_-dsm5_total_cat in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the group breakdown.

Domain wise Categorical (gender) - apq_-dsm5_total_cat
------------------------------------------------------
Category | Summary
--- | ---
 | 0 ()
 | 0 ()

For apq_-dsm5_total_cat in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the gender breakdown.

Domain wise Categorical (new_group) - apq_-dsm5_total_cat
---------------------------------------------------------
Category | Summary
--- | ---
 | 0 ()
 | 0 ()
 | 0 ()
 | 0 ()

For apq_-dsm5_total_cat in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Section 3: Reliability (Cronbach's Alpha)
=========================================

Reliability (Cronbach's Alpha) — Overall

Form | Outcome Measure | Variable | Items | N | Alpha | Interpretation
--- | --- | --- | --- | --- | --- | ---
6_month_follow_up_adolescents | PHQ9 | phq9a_-phq9a_total | 9 | 593 | 0.7844 | acceptable
6_month_follow_up_adolescents | PSC | psc_-psc_total | 35 | 593 | 0.8718 | good
6_month_follow_up_adolescents | RCADS | rcads_-rcads_total | 25 | 593 | 0.9131 | good
6_month_follow_up_adolescents | DSM-5 | dsm5_-dsm5_total | 22 | 593 | 0.8939 | good
6_month_follow_up_adolescents | Somatic | somatic_-somatic_total | 8 | 593 | 0.6952 | borderline
6_month_follow_up_adolescents | WEMWBS | wemwbs_-wemwbs_total | 7 | 593 | 0.7646 | acceptable
6_month_follow_up_adolescents | SPSI | spsi_-spsi_total | 25 | 593 | 0.8252 | good
6_month_follow_up_adolescents | IBS | ibs_-ibs_total | 4 | 593 | 0.6998 | borderline
6_month_follow_up_adolescents | BBSCQ | bbscq_-bbscq_total | 28 | 593 | 0.8249 | good
6_month_follow_up_adolescents | Self Stigma | self_stigma_-stgt_total | 5 | 593 | 0.6948 | borderline
6_month_follow_up_adolescents | Psychlops-Post | psychlops_post_-psy_total | 4 | 57 | 0.7753 | acceptable
6_month_follow_up_caregiver | SRQ | srq_-srq_total | 20 | 576 | 0.9147 | good
6_month_follow_up_caregiver | APQ | apq_-dsm5_total | 10 | 576 | 0.7943 | acceptable
6_month_follow_up_caregiver | BBSCQ | bbscq_-bbscq_total | 29 | 576 | 0.8370 | good
9_month_endpoint_adolescents | PHQ9 | phq9a_-phq9a_total | 9 | 151 | 0.8110 | good
9_month_endpoint_adolescents | PSC | psc_-psc_total | 35 | 151 | 0.8722 | good
9_month_endpoint_adolescents | RCADS | rcads_-rcads_total | 25 | 151 | 0.9177 | good
9_month_endpoint_adolescents | DSM-5 | dsm5_-dsm5_total | 22 | 151 | 0.8997 | good
9_month_endpoint_adolescents | Somatic | somatic_-somatic_total | 8 | 151 | 0.7134 | acceptable
9_month_endpoint_adolescents | WEMWBS | wemwbs_-wemwbs_total | 7 | 151 | 0.7957 | acceptable
9_month_endpoint_adolescents | SPSI | spsi_-spsi_total | 25 | 151 | 0.8527 | good
9_month_endpoint_adolescents | IBS | ibs_-ibs_total | 4 | 151 | 0.7083 | acceptable
9_month_endpoint_adolescents | BBSCQ | bbscq_-bbscq_total | 28 | 151 | 0.8135 | good
9_month_endpoint_adolescents | Self Stigma | self_stigma_-stgt_total | 5 | 151 | 0.6763 | borderline
9_month_endpoint_adolescents | Psychlops-Post | psychlops_post_-psy_total | 4 | 13 | 0.5940 | low
9_month_endpoint_caregiver | SRQ | srq_-srq_total | 20 | 113 | 0.9264 | good
9_month_endpoint_caregiver | APQ | apq_-dsm5_total | 10 | 113 | 0.8082 | good
9_month_endpoint_caregiver | BBSCQ | bbscq_-bbscq_total | 29 | 113 | 0.8273 | good

Reliability estimates are presented above for the available scales. Scales in the acceptable-to-good range: PHQ9, PSC, RCADS, DSM-5, WEMWBS, SPSI, BBSCQ, Psychlops-Post, SRQ, APQ, BBSCQ, PHQ9, PSC, RCADS, DSM-5, Somatic, WEMWBS, SPSI, IBS, BBSCQ, SRQ, APQ, BBSCQ. Borderline scales: Somatic, IBS, Self Stigma, Self Stigma.

Section 5: Group A vs Group B t-tests
=====================================

Group-wise Welch's and Student's t-tests (Group A vs Group B)

Form | Variable | Group A Mean [SD] | Group B Mean [SD] | Mean Difference | Welch's t(df) | Welch's p | Welch's sig | Student's t(df) | Student's p | Student's sig
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
6_month_follow_up_adolescents | phq9a_-phq9a_total | 5.6275 [4.2018] | 4.7966 [3.9675] | 0.8309 | 2.4761 (589.6857) | 0.013561 | significant | 2.4754 (591.0000) | 0.013588 | significant
6_month_follow_up_adolescents | psc_-psc_total | 20.5805 [9.4421] | 18.9051 [9.3919] | 1.6755 | 2.1663 (590.9863) | 0.030689 | significant | 2.1662 (591.0000) | 0.030693 | significant
6_month_follow_up_adolescents | rcads_-rcads_total | 17.0671 [10.8889] | 15.1525 [11.0152] | 1.9146 | 2.1284 (590.7228) | 0.033719 | significant | 2.1285 (591.0000) | 0.033708 | significant
6_month_follow_up_adolescents | dsm5_-dsm5_total | 16.9799 [12.2793] | 15.3254 [12.3044] | 1.6544 | 1.6388 (590.9124) | 0.101788 | non-significant | 1.6388 (591.0000) | 0.101785 | non-significant
6_month_follow_up_adolescents | somatic_-somatic_total | 4.5604 [3.6577] | 3.9322 [3.5469] | 0.6282 | 2.1232 (590.7490) | 0.034151 | significant | 2.1229 (591.0000) | 0.034178 | significant
6_month_follow_up_adolescents | wemwbs_-wemwbs_total | 20.5705 [5.1342] | 20.0678 [5.0029] | 0.5027 | 1.2075 (590.8531) | 0.227727 | non-significant | 1.2073 (591.0000) | 0.227788 | non-significant
6_month_follow_up_adolescents | ibs_-ibs_total | 2.1409 [2.8380] | 1.7390 [2.3393] | 0.4020 | 1.8828 (572.2711) | 0.060236 | non-significant | 1.8810 (591.0000) | 0.060468 | non-significant
6_month_follow_up_adolescents | bbscq_-bbscq_total | 23.7651 [4.8947] | 23.6305 [4.1628] | 0.1346 | 0.3608 (577.9009) | 0.718363 | non-significant | 0.3605 (591.0000) | 0.718579 | non-significant
6_month_follow_up_adolescents | self_stigma_-stgt_total | 0.5067 [1.0025] | 0.4610 [0.9747] | 0.0457 | 0.5628 (590.8086) | 0.573809 | non-significant | 0.5627 (591.0000) | 0.573863 | non-significant
6_month_follow_up_adolescents | psychlops_post_-psy_total | 6.8311 [5.3138] | 6.1063 [4.6427] | 0.7248 | 1.2705 (292.8817) | 0.204932 | non-significant | 1.2771 (306.0000) | 0.202523 | non-significant
6_month_follow_up_caregiver | srq_-srq_total | 6.8946 [5.7679] | 7.6773 [5.8625] | -0.7827 | -1.6146 (572.0753) | 0.106956 | non-significant | -1.6151 (574.0000) | 0.106835 | non-significant
6_month_follow_up_caregiver | apq_-dsm5_total | 24.9592 [8.2100] | 24.0035 [8.3621] | 0.9556 | 1.3833 (571.9346) | 0.167099 | non-significant | 1.3839 (574.0000) | 0.166935 | non-significant
6_month_follow_up_caregiver | bbscq_-bbscq_total | 24.9762 [4.5698] | 24.2411 [5.1572] | 0.7351 | 1.8077 (559.3657) | 0.071192 | non-significant | 1.8122 (574.0000) | 0.070472 | non-significant
6_month_follow_up_caregiver | bbscq_-bbscq_relation | 8.8537 [2.3807] | 8.6489 [2.5619] | 0.2048 | 0.9928 (566.5322) | 0.321211 | non-significant | 0.9944 (574.0000) | 0.320467 | non-significant
6_month_follow_up_caregiver | bbscq_-bbscq_belonging | 7.4320 [1.2907] | 7.2021 [1.5687] | 0.2298 | 1.9159 (544.3159) | 0.055907 | non-significant | 1.9236 (574.0000) | 0.054903 | non-significant
6_month_follow_up_caregiver | bbscq_-bbscq_comitment | 3.8707 [0.3835] | 3.7447 [0.6072] | 0.1261 | 2.9650 (471.0033) | 0.003180 | significant | 2.9917 (574.0000) | 0.002893 | significant
6_month_follow_up_caregiver | bbscq_-bbscq_participation | 4.8197 [1.6926] | 4.6454 [1.7357] | 0.1743 | 1.2198 (571.4469) | 0.223053 | non-significant | 1.2204 (574.0000) | 0.222809 | non-significant
9_month_endpoint_adolescents | phq9a_-phq9a_total | 4.3333 [3.8955] | 4.5824 [3.9639] | -0.2491 | -0.3818 (127.9597) | 0.703232 | non-significant | -0.3804 (149.0000) | 0.704157 | non-significant
9_month_endpoint_adolescents | psc_-psc_total | 16.9000 [9.3983] | 18.3846 [9.0207] | -1.4846 | -0.9651 (122.7531) | 0.336390 | non-significant | -0.9733 (149.0000) | 0.331974 | non-significant
9_month_endpoint_adolescents | rcads_-rcads_total | 12.9333 [9.4275] | 14.3297 [11.0816] | -1.3963 | -0.8299 (139.5439) | 0.407998 | non-significant | -0.8029 (149.0000) | 0.423321 | non-significant
9_month_endpoint_adolescents | dsm5_-dsm5_total | 12.3000 [11.8082] | 13.7912 [11.7279] | -1.4912 | -0.7614 (125.8157) | 0.447821 | non-significant | -0.7625 (149.0000) | 0.446960 | non-significant
9_month_endpoint_adolescents | somatic_-somatic_total | 3.9667 [4.0671] | 3.4835 [3.4136] | 0.4832 | 0.7604 (110.8580) | 0.448639 | non-significant | 0.7881 (149.0000) | 0.431863 | non-significant
9_month_endpoint_adolescents | wemwbs_-wemwbs_total | 22.5167 [4.6267] | 20.6484 [4.9674] | 1.8683 | 2.3577 (132.5641) | 0.019849 | significant | 2.3234 (149.0000) | 0.021509 | significant
9_month_endpoint_adolescents | ibs_-ibs_total | 0.9167 [1.6082] | 1.1758 [2.0902] | -0.2592 | -0.8586 (145.3861) | 0.391988 | non-significant | -0.8143 (149.0000) | 0.416799 | non-significant
9_month_endpoint_adolescents | bbscq_-bbscq_total | 25.3000 [3.8192] | 23.9011 [4.3539] | 1.3989 | 2.0821 (137.3305) | 0.039192 | significant | 2.0267 (149.0000) | 0.044472 | significant
9_month_endpoint_adolescents | self_stigma_-stgt_total | 0.2167 [0.6662] | 0.3956 [0.8929] | -0.1789 | -1.4077 (146.6597) | 0.161339 | non-significant | -1.3271 (149.0000) | 0.186490 | non-significant
9_month_endpoint_adolescents | psychlops_post_-psy_total | 5.0000 [5.0990] | 5.0400 [3.9433] | -0.0400 | -0.0382 (56.4988) | 0.969696 | non-significant | -0.0402 (81.0000) | 0.968029 | non-significant
9_month_endpoint_caregiver | srq_-srq_total | 5.8936 [4.9705] | 7.5758 [6.5868] | -1.6821 | -1.5466 (110.5921) | 0.124828 | non-significant | -1.4762 (111.0000) | 0.142722 | non-significant
9_month_endpoint_caregiver | apq_-dsm5_total |  [] |  [] |  |  () |  | non-significant |  () |  | non-significant
9_month_endpoint_caregiver | bbscq_-bbscq_total | 24.6809 [4.6863] | 24.5909 [4.6475] | 0.0899 | 0.1009 (98.7272) | 0.919831 | non-significant | 0.1010 (111.0000) | 0.919696 | non-significant
9_month_endpoint_caregiver | bbscq_-bbscq_relation | 8.4255 [2.5173] | 8.7727 [2.5407] | -0.3472 | -0.7198 (99.7853) | 0.473302 | non-significant | -0.7187 (111.0000) | 0.473826 | non-significant
9_month_endpoint_caregiver | bbscq_-bbscq_belonging | 7.2340 [1.6578] | 7.5606 [1.1784] | -0.3266 | -1.1581 (77.9172) | 0.250365 | non-significant | -1.2246 (111.0000) | 0.223314 | non-significant
9_month_endpoint_caregiver | bbscq_-bbscq_comitment | 3.8936 [0.3750] | 3.8939 [0.3103] | -0.0003 | -0.0048 (87.1323) | 0.996155 | non-significant | -0.0050 (111.0000) | 0.996029 | non-significant
9_month_endpoint_caregiver | bbscq_-bbscq_participation | 5.1277 [1.4981] | 4.3636 [2.0125] | 0.7640 | 2.3129 (110.7548) | 0.022575 | significant | 2.2030 (111.0000) | 0.029663 | significant

The group-wise comparisons above present Welch's and Student's t-tests side by side. Outcomes with statistically significant Welch tests: phq9a_-phq9a_total, psc_-psc_total, rcads_-rcads_total, somatic_-somatic_total, bbscq_-bbscq_comitment, wemwbs_-wemwbs_total, bbscq_-bbscq_total, bbscq_-bbscq_participation.
